meeting_date,decision_time_local,timezone,upper_before,upper_after,change_bps,decision,event_type,source
2019-01-30,14:00,America/New_York,2.50,2.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019-03-20,14:00,America/New_York,2.50,2.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019-05-01,14:00,America/New_York,2.50,2.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019-06-19,14:00,America/New_York,2.50,2.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019-07-31,14:00,America/New_York,2.50,2.25,-25,cut,scheduled,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190731a.htm
2019-09-18,14:00,America/New_York,2.25,2.00,-25,cut,scheduled,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019-10-30,14:00,America/New_York,2.00,1.75,-25,cut,scheduled,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019-12-11,14:00,America/New_York,1.75,1.75,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2020-01-29,14:00,America/New_York,1.75,1.75,0,hold,scheduled,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200129a.htm
2020-03-03,10:00,America/New_York,1.75,1.25,-50,cut,emergency,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200303a.htm
2020-03-15,17:00,America/New_York,1.25,0.25,-100,cut,emergency,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200315a.htm
2020-04-29,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200429a.htm
2020-06-10,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2020-07-29,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200729a.htm
2020-09-16,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200916a.htm
2020-11-05,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2020-12-16,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-01-27,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-03-17,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/newsevents/pressreleases/monetary20210317a.htm
2021-04-28,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-06-16,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-07-28,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-09-22,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-11-03,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-12-15,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-01-26,14:00,America/New_York,0.25,0.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-03-16,14:00,America/New_York,0.25,0.50,25,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-05-04,14:00,America/New_York,0.50,1.00,50,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-06-15,14:00,America/New_York,1.00,1.75,75,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-07-27,14:00,America/New_York,1.75,2.50,75,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-09-21,14:00,America/New_York,2.50,3.25,75,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-11-02,14:00,America/New_York,3.25,4.00,75,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-12-14,14:00,America/New_York,4.00,4.50,50,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-02-01,14:00,America/New_York,4.50,4.75,25,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-03-22,14:00,America/New_York,4.75,5.00,25,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-05-03,14:00,America/New_York,5.00,5.25,25,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-06-14,14:00,America/New_York,5.25,5.25,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-07-26,14:00,America/New_York,5.25,5.50,25,hike,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-09-20,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-11-01,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-12-13,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-01-31,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-03-20,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-05-01,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-06-12,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-07-31,14:00,America/New_York,5.50,5.50,0,hold,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-09-18,14:00,America/New_York,5.50,5.00,-50,cut,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-11-07,14:00,America/New_York,5.00,4.75,-25,cut,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-12-18,14:00,America/New_York,4.75,4.50,-25,cut,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
